,date,death,deathIncrease,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,pending,posNeg,positive,positiveIncrease,states,total,totalTestResults,totalTestResultsIncrease,dateChecked,id_city,multiplication_factor
156,20200709,135182,1295,161756,161756,44807,2082,11303,10765,8965503,212545,936,5085,4746,0,2416720,26272,73,0,25164537,594237,2020-06-02T24:00:00Z,2,1.319612
157,20200710,147861,1417,176927,176927,49009,2277,12363,11775,9806372,232480,1024,5562,5191,0,2643382,28736,80,0,27524702,649970,2020-06-02T24:00:00Z,2,1.4433776
158,20200711,96762,927,115784,115784,32072,1490,8091,7705,6417454,152139,670,3640,3397,0,1729874,18805,52,0,18012628,425351,2020-06-02T24:00:00Z,2,0.94457054
159,20200712,76368,732,91380,91380,25312,1176,6385,6081,5064869,120073,529,2873,2681,0,1365274,14841,41,0,14216166,335701,2020-06-02T24:00:00Z,2,0.74548656
160,20200713,136008,1303,162745,162745,45081,2095,11372,10831,9020283,213844,942,5116,4775,0,2431486,26432,74,0,25318294,597867,2020-06-02T24:00:00Z,2,1.327675
161,20200714,80715,773,96583,96583,26754,1243,6749,6427,5353206,126908,559,3036,2834,0,1442998,15686,44,0,15025477,354812,2020-06-02T24:00:00Z,2,0.7879263
162,20200715,77748,745,93031,93031,25770,1197,6501,6191,5156374,122242,538,2925,2729,0,1389940,15110,42,0,14473005,341766,2020-06-02T24:00:00Z,2,0.75895506
163,20200716,104792,1004,125392,125392,34734,1614,8762,8345,6949997,164764,726,3942,3679,0,1873425,20365,57,0,19507379,460648,2020-06-02T24:00:00Z,2,1.0229543
164,20200717,60627,581,72546,72546,20095,933,5069,4828,4020925,95324,420,2280,2128,0,1083871,11782,33,0,11286005,266508,2020-06-02T24:00:00Z,2,0.5918308
165,20200718,121035,1160,144828,144828,40118,1864,10120,9638,8027266,190303,838,4553,4249,0,2163811,23522,66,0,22531076,532050,2020-06-02T24:00:00Z,2,1.1815151
166,20200719,55056,527,65879,65879,18248,848,4603,4384,3651417,86564,381,2071,1933,0,984267,10699,30,0,10248864,242017,2020-06-02T24:00:00Z,2,0.5374438
167,20200720,92781,889,111020,111020,30753,1429,7758,7388,6153386,145878,643,3490,3257,0,1658692,18031,50,0,17271437,407848,2020-06-02T24:00:00Z,2,0.905703
168,20200721,163898,1571,196117,196117,54325,2524,13705,13052,10869996,257695,1135,6166,5754,0,2930091,31853,89,0,30510102,720467,2020-06-02T24:00:00Z,2,1.59993
169,20200722,98400,943,117744,117744,32615,1515,8228,7836,6526092,154714,681,3702,3455,0,1759158,19123,53,0,18317553,432551,2020-06-02T24:00:00Z,2,0.9605606
170,20200723,56497,541,67604,67604,18726,870,4724,4499,3747030,88831,391,2125,1983,0,1010040,10980,30,0,10517233,248354,2020-06-02T24:00:00Z,2,0.55151695
171,20200724,140215,1344,167779,167779,46475,2159,11724,11166,9299300,220459,971,5275,4923,0,2506697,27250,76,0,26101443,616361,2020-06-02T24:00:00Z,2,1.3687428
172,20200725,109932,1053,131543,131543,36438,1693,9192,8754,7290907,172846,761,4135,3860,0,1965320,21364,60,0,20464251,483244,2020-06-02T24:00:00Z,2,1.0731322
173,20200726,110984,1063,132802,132802,36786,1709,9280,8838,7360672,174500,769,4175,3896,0,1984125,21569,60,0,20660067,487868,2020-06-02T24:00:00Z,2,1.0834005
174,20200727,109988,1054,131610,131610,36456,1694,9197,8759,7294610,172933,762,4137,3862,0,1966318,21375,60,0,20474644,483489,2020-06-02T24:00:00Z,2,1.0736771
175,20200728,155713,1492,186324,186324,51612,2398,13020,12400,10327166,244827,1079,5858,5467,0,2783767,30262,85,0,28986478,684488,2020-06-02T24:00:00Z,2,1.5200322
176,20200729,140994,1351,168711,168711,46734,2171,11789,11228,9351000,221684,977,5304,4950,0,2520634,27401,77,0,26246557,619788,2020-06-02T24:00:00Z,2,1.3763524
177,20200730,60712,581,72647,72647,20123,935,5076,4834,4026524,95457,420,2284,2131,0,1085380,11799,33,0,11301720,266879,2020-06-02T24:00:00Z,2,0.59265494
178,20200731,94260,903,112790,112790,31243,1451,7881,7506,6251485,148204,653,3546,3309,0,1685136,18319,51,0,17546783,414350,2020-06-02T24:00:00Z,2,0.92014194
179,20200801,134069,1285,160425,160425,44438,2065,11210,10676,8891721,210796,929,5043,4707,0,2396831,26055,73,0,24957445,589346,2020-06-02T24:00:00Z,2,1.3087523
180,20200802,52788,506,63166,63166,17497,813,4414,4203,3501041,82999,365,1986,1853,0,943732,10259,28,0,9826785,232050,2020-06-02T24:00:00Z,2,0.5153103
181,20200803,124375,1192,148825,148825,41225,1915,10400,9904,8248805,195555,862,4679,4367,0,2223528,24171,67,0,23152895,546734,2020-06-02T24:00:00Z,2,1.2141229
182,20200804,70455,675,84305,84305,23353,1085,5891,5610,4672706,110776,488,2650,2473,0,1259563,13692,38,0,13115436,309708,2020-06-02T24:00:00Z,2,0.687765
183,20200805,77866,746,93173,93173,25809,1199,6511,6200,5164198,122428,539,2929,2734,0,1392049,15132,42,0,14494965,342285,2020-06-02T24:00:00Z,2,0.76010656
184,20200806,55137,528,65976,65976,18275,849,4610,4390,3656810,86692,382,2074,1936,0,985721,10715,30,0,10264000,242374,2020-06-02T24:00:00Z,2,0.5382376
185,20200807,82776,793,99049,99049,27437,1275,6921,6592,5489883,130149,573,3114,2906,0,1479840,16087,45,0,15409104,363871,2020-06-02T24:00:00Z,2,0.8080435
186,20200808,103542,992,123897,123897,34320,1594,8658,8245,6867105,162799,717,3895,3635,0,1851080,20123,56,0,19274714,455154,2020-06-02T24:00:00Z,2,1.0107536
187,20200809,52722,505,63086,63086,17475,812,4408,4198,3496622,82894,365,1983,1851,0,942541,10246,28,0,9814381,231757,2020-06-02T24:00:00Z,2,0.5146598
188,20200810,85618,820,102449,102449,28379,1318,7159,6818,5678367,134617,593,3221,3006,0,1530647,16639,46,0,15938144,376364,2020-06-02T24:00:00Z,2,0.835786
189,20200811,74368,712,88988,88988,24650,1145,6218,5922,4932250,116929,515,2797,2611,0,1329526,14453,40,0,13843930,326911,2020-06-02T24:00:00Z,2,0.72596675
190,20200812,76569,733,91621,91621,25379,1179,6402,6097,5078222,120389,530,2880,2688,0,1368873,14881,41,0,14253647,336586,2020-06-02T24:00:00Z,2,0.747452
191,20200813,67356,645,80597,80597,22325,1037,5632,5363,4467160,105903,466,2534,2365,0,1204157,13090,36,0,12538507,296085,2020-06-02T24:00:00Z,2,0.65751123
192,20200814,57537,551,68848,68848,19071,886,4811,4582,3815975,90465,398,2164,2020,0,1028625,11182,31,0,10710749,252924,2020-06-02T24:00:00Z,2,0.56166476
193,20200815,74586,714,89249,89249,24722,1148,6236,5939,4946718,117272,516,2806,2618,0,1333426,14495,40,0,13884539,327870,2020-06-02T24:00:00Z,2,0.72809625
194,20200816,80344,770,96138,96138,26630,1237,6718,6398,5328570,126324,556,3022,2821,0,1436357,15614,43,0,14956327,353179,2020-06-02T24:00:00Z,2,0.78430015
195,20200817,93120,892,111426,111426,30865,1434,7786,7415,6175898,146412,645,3503,3269,0,1664760,18097,50,0,17334624,409341,2020-06-02T24:00:00Z,2,0.9090165
196,20200818,128658,1233,153949,153949,42644,1981,10758,10245,8532809,202288,891,4840,4517,0,2300084,25004,70,0,23950042,565557,2020-06-02T24:00:00Z,2,1.2559247
197,20200819,162432,1557,194363,194363,53839,2502,13582,12935,10772783,255391,1125,6110,5703,0,2903886,31568,88,0,30237243,714024,2020-06-02T24:00:00Z,2,1.5856215
198,20200820,53460,512,63970,63970,17720,823,4470,4257,3545597,84055,370,2011,1877,0,955743,10389,29,0,9951848,235003,2020-06-02T24:00:00Z,2,0.52186847
199,20200821,145293,1392,173855,173855,48158,2238,12149,11570,9636114,228444,1007,5466,5101,0,2597488,28237,79,0,27046819,638685,2020-06-02T24:00:00Z,2,1.4183177
200,20200822,84067,805,100593,100593,27864,1294,7029,6694,5575489,132178,582,3162,2951,0,1502916,16338,45,0,15649384,369545,2020-06-02T24:00:00Z,2,0.8206436
201,20200823,56780,544,67942,67942,18820,874,4747,4521,3765743,89274,393,2136,1993,0,1015085,11034,31,0,10569757,249594,2020-06-02T24:00:00Z,2,0.5542712
202,20200824,52881,506,63276,63276,17527,814,4421,4211,3507158,83144,366,1989,1856,0,945381,10277,28,0,9843956,232455,2020-06-02T24:00:00Z,2,0.51621073
203,20200825,64869,621,77621,77621,21501,999,5424,5165,4302263,101994,449,2440,2277,0,1159708,12607,35,0,12075670,285155,2020-06-02T24:00:00Z,2,0.63324034
204,20200826,100161,960,119851,119851,33199,1542,8375,7976,6642888,157483,694,3768,3516,0,1790641,19466,54,0,18645378,440293,2020-06-02T24:00:00Z,2,0.9777516
205,20200827,54592,523,65324,65324,18095,840,4564,4347,3620650,85835,378,2053,1916,0,975974,10609,29,0,10162507,239978,2020-06-02T24:00:00Z,2,0.5329153
206,20200828,118294,1133,141549,141549,39209,1822,9891,9420,7845481,185993,819,4450,4153,0,2114809,22990,64,0,22020838,520001,2020-06-02T24:00:00Z,2,1.1547585
207,20200829,77327,741,92528,92528,25630,1191,6466,6158,5128478,121581,535,2909,2715,0,1382420,15028,42,0,14394705,339917,2020-06-02T24:00:00Z,2,0.754849
208,20200830,143997,1380,172304,172304,47729,2218,12040,11467,9550121,226405,998,5417,5056,0,2574308,27985,78,0,26805451,632985,2020-06-02T24:00:00Z,2,1.4056605
209,20200831,158537,1519,189703,189703,52548,2442,13256,12625,10514467,249267,1098,5964,5566,0,2834255,30811,86,0,29512198,696903,2020-06-02T24:00:00Z,2,1.5476005
210,20200901,79302,760,94892,94892,26285,1221,6631,6315,5259497,124687,549,2983,2784,0,1417737,15412,43,0,14762451,348601,2020-06-02T24:00:00Z,2,0.7741334
211,20200902,146677,1406,175511,175511,48617,2259,12265,11680,9727892,230619,1016,5518,5150,0,2622228,28506,80,0,27304424,644768,2020-06-02T24:00:00Z,2,1.4318264
212,20200903,90088,863,107798,107798,29860,1387,7533,7174,5974823,141645,624,3389,3163,0,1610559,17508,49,0,16770243,396013,2020-06-02T24:00:00Z,2,0.8794207
213,20200904,105305,1009,126007,126007,34904,1622,8805,8386,6984045,165571,729,3961,3697,0,1882603,20465,57,0,19602944,462905,2020-06-02T24:00:00Z,2,1.0279658
214,20200905,108712,1042,130082,130082,36033,1674,9090,8657,7209954,170926,753,4089,3817,0,1943498,21127,59,0,20237028,477878,2020-06-02T24:00:00Z,2,1.0612167
215,20200906,160046,1534,191508,191508,53048,2465,13382,12745,10614525,251639,1109,6021,5619,0,2861226,31104,87,0,29793042,703534,2020-06-02T24:00:00Z,2,1.5623279
216,20200907,113890,1091,136278,136278,37749,1754,9523,9069,7553377,179068,789,4284,3999,0,2036070,22134,62,0,21200956,500640,2020-06-02T24:00:00Z,2,1.1117644
217,20200908,58232,558,69679,69679,19301,897,4869,4637,3862047,91557,403,2190,2044,0,1041044,11317,31,0,10840064,255978,2020-06-02T24:00:00Z,2,0.568446
218,20200909,110296,1057,131979,131979,36558,1699,9222,8783,7315060,173418,764,4149,3872,0,1971830,21435,60,0,20532045,484845,2020-06-02T24:00:00Z,2,1.0766871
219,20200910,140815,1349,168497,168497,46674,2169,11774,11214,9339125,221403,975,5297,4944,0,2517432,27367,76,0,26213225,619000,2020-06-02T24:00:00Z,2,1.3746046
220,20200911,154667,1482,185072,185072,51266,2382,12933,12317,10257809,243182,1071,5818,5430,0,2765071,30059,84,0,28791805,679891,2020-06-02T24:00:00Z,2,1.5098237
221,20200912,158129,1515,189214,189214,52413,2435,13222,12592,10487389,248625,1095,5949,5552,0,2826956,30731,86,0,29436195,695108,2020-06-02T24:00:00Z,2,1.543615
222,20200913,95086,911,113778,113778,31517,1464,7951,7572,6306272,149503,659,3577,3338,0,1699904,18479,51,0,17700558,417982,2020-06-02T24:00:00Z,2,0.92820585
223,20200914,148970,1428,178255,178255,49377,2294,12456,11863,9879943,234224,1032,5604,5230,0,2663214,28951,81,0,27731204,654846,2020-06-02T24:00:00Z,2,1.4542063
224,20200915,138662,1329,165921,165921,45961,2135,11594,11042,9196325,218018,961,5216,4868,0,2478940,26948,75,0,25812413,609536,2020-06-02T24:00:00Z,2,1.3535862
225,20200916,128192,1228,153392,153392,42490,1974,10719,10208,8501915,201555,888,4822,4501,0,2291756,24913,70,0,23863329,563510,2020-06-02T24:00:00Z,2,1.2513776
226,20200917,129847,1244,155372,155372,43039,2000,10857,10340,8611674,204157,899,4885,4559,0,2321342,25235,70,0,24171402,570785,2020-06-02T24:00:00Z,2,1.2675327
227,20200918,105516,1011,126259,126259,34974,1625,8823,8402,6998026,165902,731,3969,3704,0,1886371,20506,57,0,19642185,463831,2020-06-02T24:00:00Z,2,1.0300235
228,20200919,118001,1131,141198,141198,39112,1817,9867,9397,7826019,185532,817,4439,4143,0,2109563,22933,64,0,21966211,518711,2020-06-02T24:00:00Z,2,1.1518939
229,20200920,51861,497,62056,62056,17190,798,4336,4130,3439552,81541,359,1951,1821,0,927157,10079,28,0,9654198,227974,2020-06-02T24:00:00Z,2,0.5062599
230,20200921,60235,577,72076,72076,19965,927,5036,4796,3994916,94707,417,2266,2115,0,1076860,11706,32,0,11213002,264784,2020-06-02T24:00:00Z,2,0.5880026
231,20200922,161147,1544,192826,192826,53413,2482,13474,12833,10687559,253370,1116,6062,5658,0,2880913,31318,88,0,29998036,708375,2020-06-02T24:00:00Z,2,1.5730776
232,20200923,87034,834,104143,104143,28848,1340,7277,6931,5772232,136842,603,3274,3056,0,1555949,16914,47,0,16201607,382585,2020-06-02T24:00:00Z,2,0.8496018
233,20200924,79984,766,95708,95708,26511,1232,6688,6369,5304723,125759,554,3009,2808,0,1429928,15544,43,0,14889392,351599,2020-06-02T24:00:00Z,2,0.7807901
234,20200925,143507,1375,171718,171718,47566,2210,11999,11428,9517616,225634,994,5398,5038,0,2565546,27890,78,0,26714217,630831,2020-06-02T24:00:00Z,2,1.4008763
235,20200926,163859,1570,196071,196071,54312,2524,13701,13049,10867423,257634,1135,6164,5753,0,2929397,31845,89,0,30502879,720297,2020-06-02T24:00:00Z,2,1.5995512
236,20200927,144540,1385,172954,172954,47909,2226,12086,11510,9586175,227260,1001,5437,5075,0,2584027,28090,79,0,26906651,635375,2020-06-02T24:00:00Z,2,1.4109674
237,20200928,52853,506,63243,63243,17518,814,4419,4209,3505340,83101,366,1988,1855,0,944891,10271,28,0,9838854,232335,2020-06-02T24:00:00Z,2,0.5159431
238,20200929,124769,1196,149297,149297,41356,1921,10433,9936,8274937,196174,864,4694,4381,0,2230573,24248,68,0,23226245,548466,2020-06-02T24:00:00Z,2,1.2179693
239,20200930,61624,590,73738,73738,20426,949,5152,4907,4087036,96891,427,2318,2163,0,1101692,11976,33,0,11471567,270890,2020-06-02T24:00:00Z,2,0.60156155
240,20200603,120684,1156,144408,144408,40001,1859,10091,9610,8003969,189750,836,4540,4237,0,2157531,23454,65,0,22465685,530506,2020-06-02T24:00:00Z,3,1.178086
241,20200604,70747,678,84654,84654,23449,1089,5915,5634,4692052,111234,490,2661,2484,0,1264778,13749,38,0,13169737,310991,2020-06-02T24:00:00Z,3,0.6906125
242,20200605,109115,1045,130565,130565,36167,1680,9124,8689,7236711,171561,756,4105,3831,0,1950711,21206,59,0,20312133,479652,2020-06-02T24:00:00Z,3,1.0651551
243,20200606,82394,789,98592,98592,27310,1269,6889,6561,5464545,129548,571,3099,2893,0,1473010,16013,45,0,15337984,362192,2020-06-02T24:00:00Z,3,0.80431396
244,20200607,88412,847,105792,105792,29304,1361,7392,7040,5863621,139009,612,3326,3104,0,1580584,17182,48,0,16458119,388643,2020-06-02T24:00:00Z,3,0.86305314
245,20200608,92973,891,111250,111250,30816,1432,7774,7404,6166133,146181,644,3497,3264,0,1662128,18068,50,0,17307214,408693,2020-06-02T24:00:00Z,3,0.9075791
246,20200609,161373,1546,193096,193096,53488,2485,13493,12851,10702560,253726,1118,6071,5666,0,2884957,31362,88,0,30040140,709369,2020-06-02T24:00:00Z,3,1.5752856
247,20200610,102221,979,122316,122316,33882,1574,8547,8140,6779469,160721,708,3845,3589,0,1827458,19866,55,0,19028738,449345,2020-06-02T24:00:00Z,3,0.9978547
248,20200611,61622,590,73736,73736,20425,949,5152,4907,4086922,96889,427,2318,2163,0,1101661,11976,33,0,11471247,270882,2020-06-02T24:00:00Z,3,0.6015448
249,20200612,113202,1085,135456,135456,37522,1743,9465,9015,7507784,177987,784,4258,3974,0,2023780,22000,61,0,21072985,497618,2020-06-02T24:00:00Z,3,1.1050537
250,20200613,76990,738,92125,92125,25519,1185,6437,6131,5106130,121051,533,2896,2703,0,1376396,14962,42,0,14331979,338436,2020-06-02T24:00:00Z,3,0.75155973
251,20200614,101428,972,121367,121367,33619,1562,8481,8077,6726901,159475,702,3815,3561,0,1813288,19712,55,0,18881189,445861,2020-06-02T24:00:00Z,3,0.9901174
252,20200615,120912,1159,144681,144681,40077,1862,10110,9629,8019107,190109,838,4548,4245,0,2161612,23498,66,0,22508176,531509,2020-06-02T24:00:00Z,3,1.1803142
253,20200616,120580,1155,144284,144284,39967,1857,10082,9602,7997081,189587,835,4536,4233,0,2155674,23434,65,0,22446352,530049,2020-06-02T24:00:00Z,3,1.1770722
254,20200617,120065,1150,143667,143667,39796,1849,10039,9561,7962913,188777,832,4517,4215,0,2146464,23334,65,0,22350449,527785,2020-06-02T24:00:00Z,3,1.1720431
255,20200618,94393,904,112949,112949,31287,1454,7893,7517,6260302,148413,654,3551,3314,0,1687512,18344,51,0,17571530,414935,2020-06-02T24:00:00Z,3,0.9214397
256,20200619,52784,505,63161,63161,17495,813,4413,4203,3500763,82992,365,1985,1853,0,943657,10258,28,0,9826007,232032,2020-06-02T24:00:00Z,3,0.51526946
257,20200620,88255,846,105604,105604,29253,1359,7379,7028,5853241,138763,611,3320,3098,0,1577786,17152,48,0,16428983,387955,2020-06-02T24:00:00Z,3,0.86152524
258,20200621,162741,1560,194733,194733,53942,2506,13608,12960,10793273,255877,1127,6122,5714,0,2909409,31628,88,0,30294755,715382,2020-06-02T24:00:00Z,3,1.5886374
259,20200622,63344,607,75796,75796,20996,975,5296,5044,4201087,99595,439,2383,2224,0,1132435,12310,34,0,11791689,278449,2020-06-02T24:00:00Z,3,0.61834854
260,20200623,96221,922,115136,115136,31893,1482,8045,7662,6381561,151288,666,3620,3378,0,1720198,18700,52,0,17911880,422972,2020-06-02T24:00:00Z,3,0.9392874
261,20200624,79728,764,95402,95402,26426,1228,6666,6349,5287748,125357,552,2999,2799,0,1425353,15495,43,0,14841747,350474,2020-06-02T24:00:00Z,3,0.77829164
262,20200625,88608,849,106027,106027,29370,1364,7409,7056,5876665,139318,614,3333,3111,0,1584100,17220,48,0,16494729,389507,2020-06-02T24:00:00Z,3,0.86497295
263,20200626,110280,1057,131960,131960,36553,1698,9221,8782,7314004,173393,764,4148,3872,0,1971546,21432,60,0,20529079,484775,2020-06-02T24:00:00Z,3,1.0765316
264,20200627,88076,844,105391,105391,29193,1356,7364,7014,5841393,138482,610,3313,3092,0,1574592,17117,48,0,16395729,387169,2020-06-02T24:00:00Z,3,0.85978144
265,20200628,147595,1414,176609,176609,48921,2273,12341,11753,9788747,232062,1022,5552,5182,0,2638632,28684,80,0,27475234,648802,2020-06-02T24:00:00Z,3,1.4407835
266,20200629,55227,529,66084,66084,18305,850,4618,4398,3662784,86833,382,2077,1939,0,987331,10733,30,0,10280768,242770,2020-06-02T24:00:00Z,3,0.53911686
267,20200630,53920,516,64520,64520,17872,830,4508,4294,3576097,84778,373,2028,1893,0,963964,10479,29,0,10037454,237025,2020-06-02T24:00:00Z,3,0.5263576
268,20200701,51540,494,61672,61672,17083,793,4309,4104,3418228,81036,357,1939,1809,0,921409,10016,28,0,9594346,226561,2020-06-02T24:00:00Z,3,0.5031213
269,20200702,62085,595,74290,74290,20578,956,5191,4944,4117607,97616,430,2335,2180,0,1109932,12066,33,0,11557376,272916,2020-06-02T24:00:00Z,3,0.60606134
270,20200703,74788,716,89490,89490,24789,1152,6253,5955,4960088,117589,518,2813,2626,0,1337029,14534,40,0,13922065,328756,2020-06-02T24:00:00Z,3,0.7300641
271,20200704,158993,1524,190249,190249,52699,2449,13294,12661,10544715,249984,1101,5981,5582,0,2842409,30899,86,0,29597098,698907,2020-06-02T24:00:00Z,3,1.5520526
272,20200705,60923,584,72900,72900,20193,938,5094,4851,4040553,95789,422,2292,2139,0,1089162,11840,33,0,11341098,267809,2020-06-02T24:00:00Z,3,0.5947199
273,20200706,68768,659,82287,82287,22794,1059,5750,5476,4560861,108124,476,2587,2414,0,1229415,13364,37,0,12801509,302295,2020-06-02T24:00:00Z,3,0.67130286
274,20200707,61059,585,73063,73063,20238,940,5105,4862,4049592,96004,423,2297,2143,0,1091598,11866,33,0,11366469,268408,2020-06-02T24:00:00Z,3,0.5960503
275,20200708,133703,1281,159986,159986,44317,2059,11180,10647,8867393,210220,926,5030,4694,0,2390273,25984,73,0,24889159,587734,2020-06-02T24:00:00Z,3,1.3051714
276,20200709,123976,1188,148348,148348,41093,1909,10366,9873,8222339,194927,859,4664,4353,0,2216394,24094,67,0,23078611,544979,2020-06-02T24:00:00Z,3,1.2102275
277,20200710,132677,1271,158759,158759,43977,2043,11094,10565,8799354,208607,919,4991,4658,0,2371933,25785,72,0,24698186,583224,2020-06-02T24:00:00Z,3,1.295157
278,20200711,145158,1391,173693,173693,48113,2236,12137,11559,9627106,228230,1006,5461,5096,0,2595060,28210,79,0,27021536,638088,2020-06-02T24:00:00Z,3,1.4169918
279,20200712,144160,1381,172499,172499,47783,2220,12054,11480,9560927,226661,999,5423,5061,0,2577221,28016,78,0,26835782,633702,2020-06-02T24:00:00Z,3,1.4072511
280,20200713,158134,1515,189221,189221,52415,2435,13223,12593,10487746,248633,1096,5949,5552,0,2827052,30732,86,0,29437195,695131,2020-06-02T24:00:00Z,3,1.5436676
281,20200714,134914,1293,161436,161436,44718,2078,11281,10744,8947763,212125,935,5075,4737,0,2411938,26220,73,0,25114742,593061,2020-06-02T24:00:00Z,3,1.3170009
282,20200715,159828,1532,191247,191247,52976,2461,13364,12728,10600052,251296,1107,6013,5612,0,2857325,31061,87,0,29752419,702575,2020-06-02T24:00:00Z,3,1.5601976
283,20200716,155008,1485,185480,185480,51379,2387,12961,12344,10280421,243718,1074,5831,5442,0,2771166,30125,84,0,28855273,681390,2020-06-02T24:00:00Z,3,1.5131519
284,20200717,94050,901,112538,112538,31173,1448,7864,7489,6237548,147874,651,3538,3302,0,1681379,18278,51,0,17507664,413427,2020-06-02T24:00:00Z,3,0.9180906
285,20200718,97042,930,116118,116118,32165,1494,8114,7728,6435992,152578,672,3650,3407,0,1734871,18859,53,0,18064658,426580,2020-06-02T24:00:00Z,3,0.947299
286,20200719,64632,619,77337,77337,21422,995,5404,5147,4286495,101620,447,2431,2269,0,1155457,12560,35,0,12031413,284110,2020-06-02T24:00:00Z,3,0.6309195
287,20200720,70137,672,83925,83925,23247,1080,5864,5585,4651627,110276,486,2638,2462,0,1253881,13630,38,0,13056272,308311,2020-06-02T24:00:00Z,3,0.68466246
288,20200721,70709,677,84610,84610,23437,1089,5912,5631,4689588,111176,490,2660,2482,0,1264114,13742,38,0,13162822,310827,2020-06-02T24:00:00Z,3,0.6902499
289,20200722,69989,670,83748,83748,23198,1078,5852,5573,4641815,110043,485,2633,2457,0,1251237,13602,38,0,13028731,307661,2020-06-02T24:00:00Z,3,0.68321824
290,20200723,76439,732,91465,91465,25336,1177,6391,6087,5069576,120184,529,2875,2684,0,1366543,14855,41,0,14229379,336013,2020-06-02T24:00:00Z,3,0.74617946
291,20200724,145634,1396,174263,174263,48271,2243,12177,11597,9658688,228979,1009,5479,5113,0,2603573,28303,79,0,27110182,640181,2020-06-02T24:00:00Z,3,1.4216404
292,20200725,139076,1333,166416,166416,46098,2142,11629,11075,9223754,218668,963,5232,4883,0,2486333,27028,76,0,25889400,611354,2020-06-02T24:00:00Z,3,1.3576233
293,20200726,129158,1238,154548,154548,42810,1989,10800,10285,8565979,203074,895,4859,4535,0,2309025,25101,70,0,24043146,567756,2020-06-02T24:00:00Z,3,1.260807
294,20200727,146423,1403,175207,175207,48533,2255,12243,11660,9711014,230219,1014,5508,5141,0,2617678,28456,80,0,27257049,643649,2020-06-02T24:00:00Z,3,1.429342
295,20200728,98598,945,117980,117980,32681,1518,8244,7851,6539196,155025,683,3709,3462,0,1762690,19162,53,0,18354335,433420,2020-06-02T24:00:00Z,3,0.9624895
296,20200729,78894,756,94403,94403,26150,1215,6597,6282,5232376,124044,546,2968,2770,0,1410427,15332,43,0,14686329,346803,2020-06-02T24:00:00Z,3,0.7701416
297,20200730,63339,607,75791,75791,20994,975,5296,5044,4200785,99588,438,2382,2224,0,1132353,12309,34,0,11790839,278429,2020-06-02T24:00:00Z,3,0.618304
298,20200731,88742,850,106188,106188,29414,1366,7420,7067,5885566,139529,615,3338,3116,0,1586499,17246,48,0,16519714,390097,2020-06-02T24:00:00Z,3,0.8662831
299,20200801,55699,533,66648,66648,18462,857,4657,4435,3694076,87575,386,2095,1955,0,995766,10824,30,0,10368600,244844,2020-06-02T24:00:00Z,3,0.5437227
300,20200802,62610,600,74918,74918,20752,964,5235,4986,4152405,98441,433,2355,2198,0,1119312,12168,34,0,11655047,275223,2020-06-02T24:00:00Z,3,0.61118317
301,20200803,54813,525,65589,65589,18168,844,4583,4365,3635333,86183,379,2062,1924,0,979932,10652,29,0,10203720,240951,2020-06-02T24:00:00Z,3,0.5350765
302,20200804,147292,1411,176247,176247,48821,2268,12316,11729,9768658,231586,1020,5541,5171,0,2633216,28625,80,0,27418846,647470,2020-06-02T24:00:00Z,3,1.4378266
303,20200805,68399,655,81844,81844,22671,1053,5719,5447,4536327,107543,474,2573,2401,0,1222801,13293,37,0,12732646,300669,2020-06-02T24:00:00Z,3,0.66769177
304,20200806,72841,698,87160,87160,24143,1122,6090,5800,4830951,114527,504,2740,2557,0,1302220,14156,39,0,13559602,320197,2020-06-02T24:00:00Z,3,0.71105677
305,20200807,148235,1420,177375,177375,49133,2283,12395,11804,9831178,233068,1027,5576,5204,0,2650069,28808,81,0,27594329,651614,2020-06-02T24:00:00Z,3,1.4470288
306,20200808,136887,1312,163797,163797,45372,2108,11446,10901,9078597,215227,948,5149,4806,0,2447205,26603,74,0,25481970,601733,2020-06-02T24:00:00Z,3,1.336258
307,20200809,89881,861,107550,107550,29792,1384,7515,7157,5961080,141319,622,3381,3156,0,1606855,17468,49,0,16731669,395102,2020-06-02T24:00:00Z,3,0.8773979
308,20200810,71504,685,85560,85560,23700,1101,5979,5694,4742286,112425,495,2690,2510,0,1278319,13896,39,0,13310734,314320,2020-06-02T24:00:00Z,3,0.69800633
309,20200811,125176,1199,149783,149783,41490,1928,10467,9968,8301892,196813,867,4709,4395,0,2237838,24327,68,0,23301902,550252,2020-06-02T24:00:00Z,3,1.2219367
310,20200812,88411,847,105791,105791,29304,1361,7392,7040,5863602,139008,612,3326,3104,0,1580579,17182,48,0,16458066,388641,2020-06-02T24:00:00Z,3,0.86305034
311,20200813,147853,1417,176919,176919,49007,2277,12363,11774,9805886,232468,1024,5562,5191,0,2643252,28734,80,0,27523339,649938,2020-06-02T24:00:00Z,3,1.4433061
312,20200814,94592,906,113187,113187,31353,1457,7909,7532,6273488,148726,655,3558,3321,0,1691066,18383,51,0,17608539,415809,2020-06-02T24:00:00Z,3,0.92338043
313,20200815,80365,770,96163,96163,26637,1237,6720,6399,5329941,126357,556,3023,2821,0,1436726,15618,43,0,14960175,353270,2020-06-02T24:00:00Z,3,0.7845019
